,ID,Test No,TB,Tem.,Inj. Back pressure,Cylinder,PumpType        (eg:CB18-16),No. of Plunger,No. of Lobe,Devolume ,Ratio,Plunger lift_mm,Injector  Type,Needle Lift,Armature lift,Nozzle Flow Rate_ cm3/30s@100bar,holes Num.,K/ks,DSP,Rail Type,Volume,PRT,RIT,"w/ PLV 
or PCV",ECU Type,HPP P2R_Length,HPP P2R_ID,HPP P2R_OD,HPP R2I_Length,HPP R2I_ID,HPP R2I_OD,Unnamed: 31,Unnamed: 32,Pump type,Plunger Num.,Cam lobes,Plunger lift_mm.1,Geometrical fuel delivery:mm3/rev
,269.0,2012/029,H1901,40.0,0.5,4.0,CP1H-16,3.0,1.0,843.0, 2/3,6.9,CRI2-16,0.85,40,420.0,7.0,Ks1.3,0.136,LWR,14.0,no,0.85,w/PLV,EDC17C08_4.40,443.5,2.4,6.0,208.4,2.4,6.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR,181.0,2014/004,H1907,40.0,50.0,4.0,CP1H-16,3.0,3.0,843.0,2/3,6.9,CRI2-16,0.85,,450.0,8.0,Ks0,0.1434,HFR,15.0,0.85,0.85,w/o PCV&PLV,EDC17CV44-5.03,467.8,3.0,6.35,179.4,3.0,6.35,,,,,,,
,182.0,2013/111,H1901,40.0,50.0,4.0,CP1H-16,3.0,3.0,843.0,2/3,6.9,CRI1-16,0.85,,421.0,8.0,Ks0,0.1391,HFR,15.0,no,no,w/o PCV&PLV,EDC17C08_4.40,252.0,3.0,6.35,203.0,3.0,6.35,,,,,,,
,183.0,2013/097,H1902,40.0,50.0,6.0,CPN2-18,2.0,3.0,4524.0,0.5,15.0,CRIN3-18,0.25,,700.0,8.0,zs,0.164,HFRN-18,31.7,1.2,1.2,w/PLV,EDC17CV44-5.03,582.5,3.6,8.0,298.5,3.6,8.0,,,,,,,
,184.0,2013/090,H1902,40.0,50.0,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,,380.0,7.0,k=0,0.1416,HFR,17.4,no,no,w/o PCV&PLV,EDC17C04_6.90,239.5,3.0,6.35,282.4,3.0,6.35,,,,,,,
,185.0,2013/090,H1902,40.0,50.0,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,,380.0,6.0,k=0,0.1475,HFR,17.4,no,no,w/o PCV&PLV,EDC17C04_6.90,239.5,3.0,6.35,282.4,3.0,6.35,,,,,,,
,186.0,2013/090,H1902,40.0,50.0,4.0,CB18-16,2.0,2.0,1018.0,0.5,9.0,CRI1-16,0.85,,355.0,6.0,k=0,0.1528,HFR,17.4,no,no,w/o PCV&PLV,EDC17C04_6.90,239.5,3.0,6.35,282.4,3.0,6.35,,,,,,,
,187.0,2013/089,H1907,40.0,50.0,6.0,CP3.3N-18,3.0,1.0,1087.0, 4/3,8.2,CRIN3-18,0.25,,600.0,7.0,K=1,0.173,HFRN-18,22.5,1.2,1.2,w/ PLV,EDC17CV44-5.03,524.0,3.6,8.0,524.0,3.6,8.0,,,,,,,
,188.0,2013/089,H1907,40.0,50.0,6.0,CP3.3N-18,3.0,1.0,1087.0, 4/3,8.2,CRIN3-18,0.25,,600.0,8.0,K=1,0.161,HFRN-18,22.5,1.2,1.2,w/ PLV,EDC17CV44-5.03,524.0,3.6,8.0,524.0,3.6,8.0,,,,,,,
,189.0,2013/089,H1907,40.0,50.0,6.0,CP3.3N-18,3.0,1.0,1087.0, 4/3,8.2,CRIN3-18,0.25,,600.0,7.0,K=1,0.19,HFRN-18,22.5,1.2,1.2,w/ PLV,EDC17CV44-5.03,524.0,3.6,8.0,524.0,3.6,8.0,,,,,,,
