3injectors,17,794,,Injector:O445B29762_00,,,,,,,,,,,,,,,
,325,0.72,0.95,1.45,1.82,2.35,2.91,3.64,4.56,5.23,6.02,5.74,6.74,7.36,8.34,8.63,10.34,10.77,
,328,0.74,1.08,1.52,2.00,2.54,3.22,3.87,4.78,5.51,6.13,5.99,6.89,7.76,8.67,8.72,9.69,11.02,
,331,0.80,1.13,1.63,2.20,2.71,3.66,4.32,4.96,5.61,5.88,6.20,7.10,7.99,8.72,8.82,10.09,11.19,
,334,0.84,1.19,1.79,2.45,3.11,4.18,4.86,5.27,5.62,5.94,6.39,7.32,8.17,8.64,8.91,10.02,10.88,
,337,0.86,1.27,1.92,2.78,3.34,4.50,5.09,5.54,5.81,6.30,6.52,7.29,8.02,8.52,8.78,10.04,10.94,
,340,0.94,1.33,2.03,2.91,3.61,4.69,5.25,5.66,5.88,5.94,6.49,7.03,8.01,8.41,8.83,9.65,10.96,
,343,1.06,1.48,2.22,3.19,3.90,4.80,5.30,5.73,5.90,6.01,6.45,6.82,8.04,8.31,9.04,10.13,10.70,
,346,1.15,1.53,2.33,3.35,4.11,4.97,5.30,5.67,5.93,6.16,6.37,6.66,7.83,8.20,8.79,9.92,11.00,
,349,1.32,1.68,2.64,3.71,4.27,4.92,5.24,5.63,6.07,6.20,6.35,6.90,7.99,8.27,8.77,9.80,10.88,
,352,1.35,1.85,2.84,3.85,4.58,4.86,5.25,5.66,6.13,6.24,6.46,7.01,7.95,8.38,8.83,9.59,10.94,
,355,1.37,1.95,2.97,4.00,4.68,4.89,5.30,5.72,6.09,6.34,6.57,7.14,8.06,8.33,9.02,9.85,10.89,
,358,1.48,2.02,3.08,4.00,4.72,4.96,5.31,5.81,6.26,6.49,6.85,7.30,8.24,8.65,9.10,10.04,10.78,
,361,1.52,2.07,3.17,3.98,4.91,4.94,5.39,5.92,6.39,6.52,7.02,7.30,8.35,8.74,9.43,10.34,11.14,
,364,1.60,2.11,3.16,3.98,4.96,5.06,5.45,6.01,6.52,6.76,7.17,7.66,8.50,8.99,9.53,10.37,11.06,
,367,1.66,2.15,3.16,4.04,5.04,5.12,5.59,6.07,6.46,6.89,7.43,7.87,8.81,9.23,9.80,10.53,11.20,
,370,1.66,2.17,3.23,4.00,5.07,5.18,5.68,6.28,6.63,7.01,7.61,8.10,8.93,9.46,10.02,10.75,11.36,
,373,1.66,2.20,3.20,4.04,5.11,5.29,5.81,6.37,6.79,7.32,8.02,8.49,9.18,9.75,10.38,10.91,11.55,
,376,1.69,2.20,3.24,4.04,5.03,5.31,5.90,6.43,7.07,7.66,8.42,8.68,9.58,10.10,10.78,11.10,11.76,
,379,1.70,2.24,3.28,4.08,5.04,5.46,6.06,6.63,7.16,7.70,8.46,8.85,9.69,10.24,11.16,11.14,12.00,
,382,1.74,2.29,3.34,4.15,5.07,5.55,6.19,6.75,7.29,7.94,8.73,9.08,9.97,10.46,11.49,11.35,12.36,
,385,1.74,2.25,3.34,4.25,5.05,5.73,6.31,6.95,7.52,8.16,8.81,9.32,10.24,10.99,11.58,11.65,12.39,
,388,1.78,2.31,3.38,4.27,5.13,5.84,6.45,7.14,7.77,8.27,9.07,9.51,10.46,11.27,12.13,12.01,12.84,
,391,1.83,2.32,3.44,4.35,5.25,6.02,6.66,7.31,8.23,8.68,9.62,9.93,10.69,11.93,12.56,12.45,12.89,
,394,1.83,2.41,3.53,4.36,5.29,6.10,6.78,7.50,8.44,9.03,9.98,10.17,11.13,12.12,13.24,12.92,13.61,
,397,1.85,2.40,3.53,4.47,5.39,6.23,6.97,7.71,8.52,9.32,10.10,10.41,11.49,12.62,13.46,13.17,13.94,
,400,1.85,2.47,3.60,4.59,5.47,6.37,7.11,7.84,8.68,9.53,10.53,10.92,11.87,13.02,13.76,13.79,14.54,
,403,1.89,2.45,3.63,4.65,5.59,6.50,7.21,8.02,9.04,9.86,10.98,10.95,12.16,13.50,14.43,14.04,14.74,
,406,1.92,2.51,3.73,4.84,5.70,6.67,7.37,8.35,9.28,10.08,10.91,11.46,12.49,13.97,15.39,14.65,16.50,
,409,1.98,2.55,3.82,4.90,5.85,6.95,7.70,8.59,9.62,10.60,11.59,11.66,13.17,14.61,16.17,15.06,17.35,
,412,2.02,2.57,3.89,5.04,6.00,7.17,7.90,8.89,9.98,10.87,12.04,12.34,13.96,15.39,16.67,15.56,18.10,
,415,2.04,2.65,3.98,5.18,6.17,7.19,8.07,9.08,10.16,11.42,12.53,12.92,14.29,15.84,17.38,16.18,18.14,
,418,2.07,2.73,4.07,5.29,6.28,7.39,8.23,9.24,10.47,11.54,12.95,13.10,14.70,16.33,18.59,17.54,20.76,
,421,2.08,2.77,4.20,5.44,6.43,7.58,8.50,9.44,10.78,12.04,13.05,13.57,15.34,17.19,19.26,17.73,21.98,
,424,2.21,2.82,4.31,5.58,6.63,7.80,8.78,9.79,11.11,12.23,13.53,13.87,15.73,17.85,19.99,18.65,22.60,
