3injectors,13,794,,Injector:0445B2905E,,,,,,,,,,,,,,,,,,,,,
,385,1.40,2.30,3.57,4.81,5.86,7.54,9.11,10.30,11.01,12.42,13.86,15.41,16.92,,,,,,,,,,,
,388,1.42,2.31,3.62,4.89,6.03,7.59,9.16,10.47,11.30,12.59,13.67,15.63,17.01,,,,,,,,,,,
,391,1.44,2.33,3.70,4.91,6.14,7.74,9.28,10.62,11.50,12.78,13.85,15.67,17.30,,,,,,,,,,,
,394,1.50,2.36,3.77,5.05,6.34,7.98,9.56,10.73,11.93,12.96,14.19,16.30,17.89,,,,,,,,,,,
,397,1.53,2.51,3.86,5.19,6.42,8.11,9.76,11.04,12.12,12.90,14.47,16.68,18.11,,,,,,,,,,,
,400,1.53,2.51,3.89,5.32,6.44,8.25,9.96,11.30,12.41,13.32,14.51,16.65,18.53,,,,,,,,,,,
,403,1.54,2.54,3.94,5.47,6.56,8.40,9.96,11.49,12.46,13.83,14.82,16.67,18.92,,,,,,,,,,,
,406,1.61,2.55,3.99,5.41,6.67,8.52,10.30,11.92,12.79,13.95,15.15,17.00,19.33,,,,,,,,,,,
,409,1.67,2.63,4.06,5.48,6.74,8.50,10.29,11.78,13.14,14.26,15.78,17.30,19.64,,,,,,,,,,,
,412,1.67,2.69,4.07,5.58,6.77,8.75,10.58,11.89,13.43,14.45,15.72,17.50,19.78,,,,,,,,,,,
,415,1.73,2.73,4.09,5.66,6.84,8.94,10.66,12.14,13.83,14.73,16.07,18.23,20.23,,,,,,,,,,,
,418,1.78,2.79,4.18,5.79,7.23,8.96,10.97,12.62,14.02,14.87,16.63,18.49,21.25,,,,,,,,,,,
,421,1.81,2.81,4.22,5.84,7.30,9.19,11.14,12.83,14.28,15.22,16.76,19.04,21.56,,,,,,,,,,,
,424,1.88,2.88,4.33,5.91,7.40,9.60,11.35,13.07,14.53,15.92,16.95,19.56,22.44,,,,,,,,,,,
,427,1.88,2.90,4.34,6.02,7.44,9.69,11.78,13.47,14.78,16.13,17.45,20.06,22.65,,,,,,,,,,,
,430,1.95,2.96,4.42,6.11,7.54,9.87,11.85,13.71,15.17,16.36,17.71,20.49,22.82,,,,,,,,,,,
,433,1.95,2.95,4.50,6.14,7.76,9.99,12.23,13.85,15.44,17.05,17.99,21.07,23.13,,,,,,,,,,,
,436,1.96,3.01,4.52,6.26,7.97,10.12,12.24,14.42,15.69,17.18,18.42,21.58,23.30,,,,,,,,,,,
,439,2.00,3.05,4.60,6.37,8.10,10.35,12.86,14.95,16.46,17.25,18.51,21.51,23.86,,,,,,,,,,,
,442,2.05,3.16,4.65,6.54,8.20,10.63,13.25,15.45,16.46,17.80,19.56,22.35,25.27,,,,,,,,,,,
,445,2.06,3.17,4.74,6.62,8.41,11.11,13.51,15.90,16.85,18.45,20.19,22.85,25.93,,,,,,,,,,,
,448,2.09,3.22,4.84,6.69,8.68,11.41,13.70,16.10,17.65,18.76,20.25,22.96,26.06,,,,,,,,,,,
,451,2.15,3.24,4.96,6.77,8.74,11.59,14.16,16.37,17.74,19.12,20.43,23.74,26.04,,,,,,,,,,,
,454,2.18,3.27,5.01,6.94,8.77,11.70,14.33,16.69,18.04,19.79,21.23,23.80,27.11,,,,,,,,,,,
,457,2.20,3.28,5.10,7.10,8.99,11.94,14.76,17.15,18.31,20.04,21.66,24.42,27.65,,,,,,,,,,,
,460,2.22,3.36,5.18,7.21,9.31,12.21,14.91,17.34,18.59,20.33,21.49,25.07,27.65,,,,,,,,,,,
,463,2.26,3.43,5.27,7.24,9.44,12.34,15.31,17.81,19.56,20.82,22.03,25.56,27.95,,,,,,,,,,,
,466,2.32,3.52,5.49,7.64,9.65,12.80,15.55,18.31,19.73,21.03,23.01,25.99,29.21,,,,,,,,,,,
,469,2.35,3.54,5.53,7.78,10.03,12.99,16.42,18.30,20.16,21.88,23.11,26.23,29.90,,,,,,,,,,,
,472,2.38,3.58,5.54,7.93,10.10,13.05,16.65,18.58,20.41,22.39,23.77,27.06,30.12,,,,,,,,,,,
,475,2.43,3.65,5.73,8.01,10.37,13.38,17.15,19.26,20.61,22.77,24.34,27.31,30.40,,,,,,,,,,,
,478,2.46,3.72,5.80,8.10,10.49,13.74,17.22,19.41,21.13,23.20,24.57,27.56,30.46,,,,,,,,,,,
,481,2.50,3.77,5.93,8.25,10.53,13.84,17.51,19.52,21.59,23.13,25.02,28.12,30.59,,,,,,,,,,,
,484,2.56,3.86,6.05,8.53,10.90,14.33,17.70,20.13,22.04,23.58,26.07,28.53,31.45,,,,,,,,,,,
,487,2.64,3.95,6.38,8.70,11.28,14.46,18.20,20.54,21.88,24.15,25.96,28.76,31.82,,,,,,,,,,,
,490,2.64,4.03,6.48,8.75,11.53,14.55,18.65,20.36,22.90,24.51,26.37,29.40,32.71,,,,,,,,,,,
,493,2.75,4.14,6.53,8.96,11.81,15.22,18.78,20.99,23.21,24.89,26.97,29.91,33.27,,,,,,,,,,,
,496,2.78,4.23,6.71,9.18,11.83,15.27,19.24,21.27,23.19,25.40,27.72,30.37,33.87,,,,,,,,,,,
,499,2.85,4.21,6.78,9.30,12.14,15.47,19.46,21.68,23.49,25.61,27.78,30.31,34.22,,,,,,,,,,,
,502,2.88,4.31,6.85,9.36,12.32,15.69,19.62,21.99,24.00,25.64,28.24,30.96,34.30,,,,,,,,,,,
,505,2.96,4.43,7.09,9.62,12.43,15.81,19.75,22.18,24.29,26.29,28.61,31.47,34.85,,,,,,,,,,,
,508,3.03,4.57,7.12,9.73,12.55,15.81,20.06,22.23,24.35,26.47,28.88,31.98,35.09,,,,,,,,,,,
,511,3.17,4.71,7.38,9.91,12.85,16.10,20.48,22.44,24.54,26.50,29.36,32.08,35.65,,,,,,,,,,,
,514,3.29,4.76,7.58,10.14,12.87,16.49,20.73,23.08,24.88,27.05,29.67,32.59,36.43,,,,,,,,,,,
,517,3.30,4.84,7.74,10.18,13.06,16.65,21.05,23.49,25.24,27.59,30.25,33.29,36.39,,,,,,,,,,,
,520,3.30,4.95,7.71,10.23,13.08,16.71,21.30,23.41,25.48,27.85,30.81,33.48,37.22,,,,,,,,,,,
,523,3.41,4.99,7.87,10.54,13.26,17.15,21.45,23.60,25.50,28.32,31.22,34.08,37.62,,,,,,,,,,,
